Date,Open,High,Low,Close,Adj Close,Volume
2019-02-04,5.950000,6.060000,5.930000,6.040000,5.463242,35465200
2019-02-05,6.040000,6.190000,6.000000,6.020000,5.445152,43624700
2019-02-06,6.050000,6.070000,5.930000,5.970000,5.399927,30674000
2019-02-07,5.940000,5.960000,5.810000,5.890000,5.327566,30517000
2019-02-08,5.850000,5.950000,5.840000,5.930000,5.374696,22481400
2019-02-11,5.930000,6.000000,5.860000,5.860000,5.311252,18537400
2019-02-12,5.890000,5.930000,5.840000,5.900000,5.347506,27972300
2019-02-13,5.920000,5.930000,5.810000,5.900000,5.347506,21138500
2019-02-14,5.860000,5.970000,5.850000,5.920000,5.365633,28789900
2019-02-15,5.970000,6.040000,5.960000,6.030000,5.465331,21066900
2019-02-19,6.000000,6.060000,5.960000,6.000000,5.438141,27747900
2019-02-20,5.990000,6.090000,5.990000,6.040000,5.474396,27607900
2019-02-21,6.050000,6.090000,5.990000,6.080000,5.510650,23096700
2019-02-22,6.100000,6.130000,6.030000,6.060000,5.492521,21142700
2019-02-25,6.080000,6.100000,6.000000,6.020000,5.456268,17138800
2019-02-26,6.000000,6.020000,5.860000,5.920000,5.365633,32548000
2019-02-27,5.880000,5.940000,5.860000,5.920000,5.365633,18664300
2019-02-28,5.930000,6.010000,5.910000,5.930000,5.374696,29616200
2019-03-01,5.950000,6.020000,5.920000,5.990000,5.429078,21448800
2019-03-04,6.040000,6.060000,5.880000,6.000000,5.438141,30363000
2019-03-05,5.980000,6.040000,5.960000,6.030000,5.465331,26987000
2019-03-06,6.010000,6.050000,5.970000,6.000000,5.438141,21437400
2019-03-07,5.990000,6.030000,5.940000,5.990000,5.429078,31818300
2019-03-08,5.940000,5.980000,5.910000,5.940000,5.383760,22651300
2019-03-11,5.920000,6.000000,5.900000,5.970000,5.410951,21243900
2019-03-12,5.980000,6.170000,5.930000,6.140000,5.565032,43652700
2019-03-13,6.100000,6.180000,6.040000,6.090000,5.519713,32468800
2019-03-14,6.070000,6.160000,6.060000,6.130000,5.555968,22232700
2019-03-15,6.180000,6.180000,6.080000,6.170000,5.592221,32036900
2019-03-18,6.140000,6.170000,6.040000,6.060000,5.492521,26406200
2019-03-19,6.080000,6.140000,6.030000,6.110000,5.537840,22336500
2019-03-20,6.070000,6.090000,5.920000,6.020000,5.456268,35866600
2019-03-21,6.000000,6.070000,5.960000,5.980000,5.420013,28305300
2019-03-22,5.930000,5.950000,5.750000,5.760000,5.220616,64391100
2019-03-25,5.750000,5.770000,5.690000,5.750000,5.211552,36740500
2019-03-26,5.770000,5.800000,5.700000,5.700000,5.166234,37833000
2019-03-27,5.730000,5.760000,5.650000,5.660000,5.129980,29836400
2019-03-28,5.650000,5.740000,5.650000,5.690000,5.157171,21798900
2019-03-29,5.700000,5.720000,5.630000,5.670000,5.139043,30656300
2019-04-01,5.700000,5.840000,5.680000,5.790000,5.247806,38541000
2019-04-02,5.790000,5.890000,5.760000,5.870000,5.320315,32882500
2019-04-03,5.890000,5.960000,5.880000,5.920000,5.365633,29878800
2019-04-04,5.930000,5.980000,5.890000,5.960000,5.401887,25841800
2019-04-05,5.950000,5.990000,5.870000,5.940000,5.383760,29706100
2019-04-08,5.940000,6.000000,5.920000,5.980000,5.420013,25665300
2019-04-09,5.940000,6.000000,5.880000,5.970000,5.410951,23085700
2019-04-10,5.970000,6.010000,5.930000,5.990000,5.429078,25911500
2019-04-11,6.000000,6.060000,5.980000,6.050000,5.483459,22739000
2019-04-12,6.070000,6.130000,6.040000,6.100000,5.528778,19817800
2019-04-15,6.100000,6.100000,5.900000,5.990000,5.429078,26494200
2019-04-16,5.990000,6.010000,5.910000,5.960000,5.401887,21580300
2019-04-17,5.960000,6.020000,5.910000,6.010000,5.447205,19844200
2019-04-18,6.040000,6.070000,5.970000,6.040000,5.474396,27593200
2019-04-22,6.020000,6.140000,6.000000,6.120000,5.546904,26433000
2019-04-23,6.100000,6.170000,6.100000,6.150000,5.574096,32266700
2019-04-24,5.990000,6.130000,5.630000,5.710000,5.175298,82867500
2019-04-25,5.770000,5.810000,5.660000,5.730000,5.193425,37225900
2019-04-26,5.750000,5.900000,5.730000,5.780000,5.238743,36786000
2019-04-29,5.830000,5.910000,5.740000,5.870000,5.320315,33325000
2019-04-30,5.870000,5.920000,5.790000,5.810000,5.265934,34575400
2019-05-01,5.810000,5.910000,5.810000,5.880000,5.329378,28993700
2019-05-02,5.890000,5.900000,5.720000,5.770000,5.229681,37423800
2019-05-03,5.810000,5.900000,5.800000,5.880000,5.329378,26866800
2019-05-06,5.790000,5.860000,5.780000,5.840000,5.293125,23343100
2019-05-07,5.790000,5.810000,5.670000,5.720000,5.184361,34781100
2019-05-08,5.700000,5.780000,5.680000,5.740000,5.202487,24778200
2019-05-09,5.690000,5.740000,5.630000,5.710000,5.186140,23825200
2019-05-10,5.700000,5.770000,5.630000,5.740000,5.213387,20879800
2019-05-13,5.660000,5.690000,5.570000,5.570000,5.058984,25827500
2019-05-14,5.590000,5.750000,5.570000,5.630000,5.113479,29306000
2019-05-15,5.620000,5.660000,5.590000,5.610000,5.095314,23637600
2019-05-16,5.600000,5.710000,5.600000,5.650000,5.131645,17176000
2019-05-17,5.630000,5.710000,5.620000,5.660000,5.140727,20773800
2019-05-20,5.620000,5.670000,5.570000,5.580000,5.068067,20589200
